Year, Age_Category,All_BirthRate,First_BirthRate,Characteritics,Childless_percentage
2004,, 60.9 , 23.8 ,"  Some college, no degree ",
2004,, 59.9 , 17.5 ,  Associate degree ,
2004,, 62.6 , 25.9 ,  Bachelors degree ,
2004,, 86.3 , 43.2 ,  Graduate or professional degree ,
2004,, 51.7 , 23.0 ,  Employed ,
2004,, 66.2 , 33.0 ,  Unemployed ,
2004,, 90.0 , 28.9 ,  Not in labor force ,
2004,, 53.7 , 23.8 ,"  Management, business & financial ",
2004,, 57.0 , 26.3 ,  Professional & related occupations ,
2004,, 51.1 , 22.0 ,  Service occupations ,
2004,, 53.2 , 22.4 ,  Sales & related occupations ,
2004,, 46.6 , 22.1 ,  Office & admin. support ,
2004,, - , - ,"  Farming, fishing and forestry ",
2004,, 67.7 , - ,  Construction and extraction ,
2004,, 74.3 , 74.3 ,"  Installation, maintenance and repair ",
2004,, 52.8 , 22.2 ,  Production occupations ,
2004,, 26.3 , 3.1 ,  Transportation and material moving ,
2004,, 87.2 , 35.5 ,"  Under $10,000 ",
2004,, 79.1 , 31.2 ,"  $10,000 to $19,999 ",
2004,, 73.3 , 27.1 ,"  $20,000 to $24,999 ",
2004,, 78.6 , 31.7 ,"  $25,000 to $29,999 ",
2004,, 76.7 , 19.1 ,"  $30,000 to $34,999 ",
2004,, 60.8 , 26.0 ,"  $35,000 to $49,999 ",
2004,, 58.6 , 22.6 ,"  $50,000 to $74,999 ",
2004,, 59.3 , 23.5 ,"  $75,000 and over ",
2004,, 56.4 , 24.0 ,  Income not reported ,
2004,, 52.1 , 22.0 ,  Northeast ,
2004,, 68.7 , 27.4 ,  Midwest ,
2004,, 67.2 , 25.3 ,  South ,
2004,, 64.5 , 25.7 ,  West ,
2006,, 61.8 , 24.0 ,"  White alone, non-Hispanic",
2006,, 57.7 , 22.6 ,  Black alone,
2006,, 56.6 , 23.8 ,  Asian alone,
2006,, 82.2 , 30.6 ,  Hispanic,
2006,, 93.2 , 33.4 ,"  Married, husband present ",
2006,, 58.4 , 12.6 ,"  Married, husband absent \2",
2006,, 26.2 , 8.3 ,  Widowed or divorced ,
2006,, 44.3 , 21.3 ,  Never married ,
2006,, 64.8 , 21.9 ,  Not a high school graduate ,
2006,, 64.1 , 25.4 ,"  High school, 4 years ",
2006,, 55.9 , 19.7 ,"  Some college, no degree ",
2006,, 65.0 , 24.4 ,  Associate degree ,
2006,, 69.3 , 30.8 ,  Bachelors degree ,
2006,, 77.2 , 37.2 ,  Graduate or professional degree ,
2006,, 51.4 , 22.9 ,  Employed ,
2006,, 61.2 , 22.4 ,  Unemployed ,
2006,, 92.3 , 30.3 ,  Not in labor force ,
2006,, 51.2 , 21.1 ,"  Management, business & financial ",
2006,, 61.0 , 30.3 ,  Professional & related occupations ,
2006,, 50.2 , 19.7 ,  Service occupations ,
2006,, 49.4 , 26.6 ,  Sales & related occupations ,
2006,, 52.8 , 23.8 ,  Office & admin. support ,
2006,, 76.6 , -   ,"  Farming, fishing and forestry ",
2006,, 62.8 , 29.0 ,  Construction and extraction ,
2006,, 32.7 , -   ,"  Installation, maintenance and repair ",
2006,, 45.2 , 11.3 ,  Production occupations ,
2006,, 58.1 , 7.1 ,  Transportation and material moving ,
2006,, 86.9 , 28.4 ,"  Under $10,000 ",
2006,, 77.4 , 24.5 ,"  $10,000 to $19,999 ",
2006,, 76.8 , 27.9 ,"  $20,000 to $24,999 ",
2006,, 61.9 , 31.1 ,"  $25,000 to $29,999 ",
2006,, 62.4 , 24.1 ,"  $30,000 to $34,999 ",
2006,, 63.9 , 28.5 ,"  $35,000 to $49,999 ",
2006,, 65.7 , 25.8 ,"  $50,000 to $74,999 ",
2006,, 61.5 , 25.1 ,"  $75,000 and over ",
2006,, 50.4 , 18.6 ,  Income not reported ,
2006,, 59.7 , 23.4 ,  Northeast ,
2006,, 66.8 , 26.3 ,  Midwest ,
2006,, 62.4 , 24.8 ,  South ,
2006,, 69.1 , 25.9 ,  West ,
2008,, 60.1 , 24.4 ,"  White alone, non-Hispanic",
2008,, 68.5 , 28.9 ,  Black alone,
2008,, 57.4 , 24.5 ,  Asian alone,
2008,, 77.4 , 26.1 ,  Hispanic,
2008,, 93.1 , 34.1 ,"  Married, husband present ",
2008,, 75.0 , 21.1 ,"  Married, husband absent \2",
2008,, 32.9 , 9.9 ,  Widowed or divorced ,
2008,, 41.5 , 20.0 ,  Never married ,
2008,, 54.6 , 19.2 ,  Not a high school graduate ,
2008,, 71.1 , 28.4 ,"  High school, 4 years ",
2008,, 60.9 , 23.8 ,"  Some college, no degree ",
2008,, 59.9 , 17.5 ,  Associate degree ,
2008,, 62.6 , 25.9 ,  Bachelors degree ,
2008,, 86.3 , 43.2 ,  Graduate or professional degree ,
2008,, 51.7 , 23.0 ,  Employed ,
2008,, 66.2 , 33.0 ,  Unemployed ,
2008,, 90.0 , 28.9 ,  Not in labor force ,
2008,, 53.7 , 23.8 ,"  Management, business & financial ",
2008,, 57.0 , 26.3 ,  Professional & related occupations ,
2008,, 51.1 , 22.0 ,  Service occupations ,
2008,, 53.2 , 22.4 ,  Sales & related occupations ,
2008,, 46.6 , 22.1 ,  Office & admin. support ,
2008,, - , - ,"  Farming, fishing and forestry ",
2008,, 67.7 , - ,  Construction and extraction ,
2008,, 74.3 , 74.3 ,"  Installation, maintenance and repair ",
2008,, 52.8 , 22.2 ,  Production occupations ,
2008,, 26.3 , 3.1 ,  Transportation and material moving ,
2008,, 87.2 , 35.5 ,"  Under $10,000 ",
2008,, 79.1 , 31.2 ,"  $10,000 to $19,999 ",
2008,, 73.3 , 27.1 ,"  $20,000 to $24,999 ",
2008,, 78.6 , 31.7 ,"  $25,000 to $29,999 ",
2008,, 76.7 , 19.1 ,"  $30,000 to $34,999 ",
2008,, 60.8 , 26.0 ,"  $35,000 to $49,999 ",
2008,, 58.6 , 22.6 ,"  $50,000 to $74,999 ",
2008,, 59.3 , 23.5 ,"  $75,000 and over ",
2008,, 56.4 , 24.0 ,  Income not reported ,
2008,, 52.1 , 22.0 ,  Northeast ,
2008,, 68.7 , 27.4 ,  Midwest ,
2008,, 67.2 , 25.3 ,  South ,
2008,, 64.5 , 25.7 ,  West ,
1990,,,,, 41.6 
2000,,,,, 42.8 
2002,,,,, 43.5 
2004,,,,, 44.6 
2006,,,,, 45.1 
2008,,,,, 45.7 
